t,Avg_Divergence,Total_Divergence,Avg_Curl,Total_Curl
0000,0.0,0.0,7.343436048383318e-09,0.0019175253643899002
0001,3.852914253908129e-12,1.0060768228947446e-06,7.34632462492297e-09,0.0019182796323845108
0002,3.0194985008956885e-12,7.884544680523831e-07,7.34847997227419e-09,0.0019188424388402088
0003,2.6499807834703905e-12,6.919656321605719e-07,7.351555162467625e-09,0.0019196454355787087
0004,2.3984479205357274e-12,6.262851194582096e-07,7.35383696780903e-09,0.0019202412628712617
0005,2.2748745128046413e-12,5.940175076580608e-07,7.355585511388518e-09,0.0019206978443192812
0006,2.172657517696567e-12,5.673265036784453e-07,7.3575869844917965e-09,0.0019212204709774825
0007,2.1189994533732816e-12,5.533152562642847e-07,7.360331749512735e-09,0.001921937186764515
0008,1.997330627141631e-12,5.215449706898499e-07,7.362989163546215e-09,0.0019226310933743512
0009,1.9775521197268587e-12,5.163803870551971e-07,7.365170239750417e-09,0.0019232006181738688
0010,1.9311954872845585e-12,5.042756968352313e-07,7.366798424471802e-09,0.0019236257713965014
0011,1.8696507428548513e-12,4.882050716250016e-07,7.367971438892659e-09,0.0019239320700950898
0012,1.8336983685539e-12,4.788171516951628e-07,7.3687388157687764e-09,0.0019241324483123586
0013,1.7687275072841727e-12,4.618518954295505e-07,7.369249144107267e-09,0.0019242657057584336
0014,1.6756380648758804e-12,4.3754428713845476e-07,7.369645499190203e-09,0.0019243692023940449
0015,1.5233457806311315e-12,3.9777757358418167e-07,7.369996387227798e-09,0.00192446082662931
0016,1.3718823079969763e-12,3.5822728014647845e-07,7.370306461301602e-09,0.0019245417934815356
0017,1.2331200222123344e-12,3.21993533320107e-07,7.3705520433902195e-09,0.0019246059201220975
0018,1.1180643867362323e-12,2.919500907289517e-07,7.3707340978881185e-09,0.0019246534583746433
0019,1.0352282228302691e-12,2.703198287736627e-07,7.370890444174487e-09,0.0019246942836732863
0020,9.634264315017075e-13,2.515708732201574e-07,7.371036030150585e-09,0.0019247322992289508
0021,8.993157224131976e-13,2.3483022075225657e-07,7.371029667227201e-09,0.0019247306377360338
0022,8.683618821629546e-13,2.2674752303227286e-07,7.371032964892019e-09,0.0019247314988255688
0023,8.494197021468651e-13,2.2180132204429158e-07,7.371029000068668e-09,0.0019247304635269307
0024,8.405072612236304e-13,2.194740965579756e-07,7.370996012362792e-09,0.0019247218497441846
0025,8.281541042790879e-13,2.162484278634597e-07,7.371047074286392e-09,0.001924735183084737
0026,8.122747150357723e-13,2.121019858648559e-07,7.3711573469058465e-09,0.0019247639775814016
0027,8.161067613427495e-13,2.1310261362858008e-07,7.3711803796284936e-09,0.0019247699919089718
0028,8.40293853008367e-13,2.194183711913978e-07,7.371186319043609e-09,0.0019247715428149861
0029,8.757191448846853e-13,2.2866865883143393e-07,7.371155137424918e-09,0.001924763400639532
0030,9.256507228172663e-13,2.4170684239276737e-07,7.37113160075596e-09,0.001924757254720997
0031,9.860791102199217e-13,2.574859633397362e-07,7.371113152697664e-09,0.0019247524375455667
0032,1.0455144199339493e-12,2.7300577084757276e-07,7.371112641960933e-09,0.0019247523041814808
0033,1.1110156508768793e-12,2.9010951777262157e-07,7.371139797030012e-09,0.001924759394940274
0034,1.1954219618095347e-12,3.1214977808966753e-07,7.371194134982477e-09,0.0019247735837207595
0035,1.3058417096652835e-12,3.409826930695085e-07,7.371219821136457e-09,0.001924780290914973
0036,1.4442307861509509e-12,3.7711898711052246e-07,7.3712231230590594e-09,0.0019247811531163048
0037,1.6099598420762407e-12,4.2039432392279e-07,7.371299217848311e-09,0.0019248010230637688
0038,1.8072049106973752e-12,4.718991534862093e-07,7.3713057402473836e-09,0.001924802726199137
0039,2.041416511177979e-12,5.330567208153052e-07,7.371260046519417e-09,0.0019247907946071967
0040,2.3229937166706977e-12,6.065824422907692e-07,7.3712729831629475e-09,0.001924794172636492
0041,2.6498415869085207e-12,6.919292850151398e-07,7.371307913696769e-09,0.0019248032937324141
0042,3.0479496358691475e-12,7.958836568677877e-07,7.371350102601924e-09,0.001924814310141517
0043,3.5186387913602307e-12,9.187904798387748e-07,7.37138598038849e-09,0.0019248236785850228
0044,4.06770495792867e-12,1.0621631863192923e-06,7.371324794590068e-09,0.001924807701688153
0045,4.717110462108901e-12,1.2317366009763382e-06,7.371418165145022e-09,0.0019248320827008334
0046,5.470547487315167e-12,1.4284748304352237e-06,7.371544180588014e-09,0.0019248649879793228
