t,kinetic_energy,classical_energy,magnetic_energy
0,8.489789698727364e-15 dyne/cm**2,4.8712320298645816e+47 cm**2*g/s**2,2.8872862022728725e-08 dyne/cm**2
1,1.0810577708507735e-15 dyne/cm**2,6.202843057569055e+46 cm**2*g/s**2,2.8873014142189258e-08 dyne/cm**2
2,1.0768906198966144e-15 dyne/cm**2,6.178932941955663e+46 cm**2*g/s**2,2.8873490058867424e-08 dyne/cm**2
3,1.2062175018253833e-15 dyne/cm**2,6.920978671173495e+46 cm**2*g/s**2,2.887364391642132e-08 dyne/cm**2
4,1.2850068544407242e-15 dyne/cm**2,7.373052613590186e+46 cm**2*g/s**2,2.8873132841405345e-08 dyne/cm**2
5,1.3349441326738322e-15 dyne/cm**2,7.659580363728399e+46 cm**2*g/s**2,2.8872212115525348e-08 dyne/cm**2
6,1.2774461822356959e-15 dyne/cm**2,7.329671257624435e+46 cm**2*g/s**2,2.8871427348302073e-08 dyne/cm**2
7,1.2251856256394815e-15 dyne/cm**2,7.029813107361866e+46 cm**2*g/s**2,2.8871160642878706e-08 dyne/cm**2
8,1.2268171875495501e-15 dyne/cm**2,7.039174663517591e+46 cm**2*g/s**2,2.8871469037126667e-08 dyne/cm**2
9,1.3040231981655614e-15 dyne/cm**2,7.482163668858741e+46 cm**2*g/s**2,2.8872247008922137e-08 dyne/cm**2
10,1.3082050004026128e-15 dyne/cm**2,7.50615776874753e+46 cm**2*g/s**2,2.887313328617034e-08 dyne/cm**2
11,1.2465491957813605e-15 dyne/cm**2,7.152392081625305e+46 cm**2*g/s**2,2.887366552810285e-08 dyne/cm**2
12,1.2435494619522254e-15 dyne/cm**2,7.13518036615646e+46 cm**2*g/s**2,2.8873570993276395e-08 dyne/cm**2
13,1.2940088826866688e-15 dyne/cm**2,7.424704001731581e+46 cm**2*g/s**2,2.8872980077465888e-08 dyne/cm**2
14,1.303553026542228e-15 dyne/cm**2,7.479466026691021e+46 cm**2*g/s**2,2.887229763786278e-08 dyne/cm**2
15,1.2613517107058467e-15 dyne/cm**2,7.237325165290002e+46 cm**2*g/s**2,2.887190040145138e-08 dyne/cm**2
16,1.2263426498377885e-15 dyne/cm**2,7.036451866500298e+46 cm**2*g/s**2,2.8871937709752126e-08 dyne/cm**2
17,1.239300568381377e-15 dyne/cm**2,7.110801187092818e+46 cm**2*g/s**2,2.8872321095475666e-08 dyne/cm**2
18,1.2670466629312884e-15 dyne/cm**2,7.2700014409223e+46 cm**2*g/s**2,2.887283911479471e-08 dyne/cm**2
19,1.2628941144996775e-15 dyne/cm**2,7.246175158754878e+46 cm**2*g/s**2,2.8873232996160477e-08 dyne/cm**2
20,1.2352458772081217e-15 dyne/cm**2,7.087536407328428e+46 cm**2*g/s**2,2.887330971470605e-08 dyne/cm**2
21,1.242592719813067e-15 dyne/cm**2,7.129690755567642e+46 cm**2*g/s**2,2.8873059337321566e-08 dyne/cm**2
22,1.2787720230482095e-15 dyne/cm**2,7.337278678469182e+46 cm**2*g/s**2,2.8872642537485615e-08 dyne/cm**2
23,1.3068877307566176e-15 dyne/cm**2,7.498599668217219e+46 cm**2*g/s**2,2.8872274374871772e-08 dyne/cm**2
24,1.310931822739628e-15 dyne/cm**2,7.521803692505848e+46 cm**2*g/s**2,2.8872121905197794e-08 dyne/cm**2
25,1.325669925223571e-15 dyne/cm**2,7.606367275833555e+46 cm**2*g/s**2,2.8872234943734203e-08 dyne/cm**2
26,1.3798845173125947e-15 dyne/cm**2,7.917437224669432e+46 cm**2*g/s**2,2.8872525769616946e-08 dyne/cm**2
27,1.4444911765868763e-15 dyne/cm**2,8.288134318992579e+46 cm**2*g/s**2,2.887283944467473e-08 dyne/cm**2
28,1.518286497828612e-15 dyne/cm**2,8.71155366489806e+46 cm**2*g/s**2,2.8873039765836666e-08 dyne/cm**2
29,1.6275196563579697e-15 dyne/cm**2,9.33830659457425e+46 cm**2*g/s**2,2.8873052970435344e-08 dyne/cm**2
30,1.792224622665052e-15 dyne/cm**2,1.0283343101101516e+47 cm**2*g/s**2,2.887288625196373e-08 dyne/cm**2
31,1.983797817287686e-15 dyne/cm**2,1.1382542866935398e+47 cm**2*g/s**2,2.887262590852698e-08 dyne/cm**2
32,2.259782984849476e-15 dyne/cm**2,1.296607772124286e+47 cm**2*g/s**2,2.8872407386198266e-08 dyne/cm**2
33,2.653026309232952e-15 dyne/cm**2,1.5222411006246338e+47 cm**2*g/s**2,2.887232535169776e-08 dyne/cm**2
34,3.1493140321993974e-15 dyne/cm**2,1.8069987467186059e+47 cm**2*g/s**2,2.8872396001017375e-08 dyne/cm**2
35,3.826860549471362e-15 dyne/cm**2,2.1957582214300115e+47 cm**2*g/s**2,2.887257487219088e-08 dyne/cm**2
36,4.813465175891354e-15 dyne/cm**2,2.7618476328898387e+47 cm**2*g/s**2,2.8872799643063763e-08 dyne/cm**2
37,6.158847380114148e-15 dyne/cm**2,3.5337947783454845e+47 cm**2*g/s**2,2.887296643418767e-08 dyne/cm**2
