t,KE,PE_grav,PE_mag,PE_cr,PE_thermo,total
0,4.8712320298645816e+47,-1.7035182883032084e+54,1.6566536550912143e+54,1.8637354251387853e+54,1.6773618325764896e+54,3.494233111626484e+54
1,6.202843057569055e+46,-1.7035129015779098e+54,1.656662383330244e+54,1.8637366474558312e+54,1.677363487099721e+54,3.494249678336317e+54
2,6.178932941955663e+46,-1.7034749603594663e+54,1.6566896902581383e+54,1.8637452113680597e+54,1.677374618879051e+54,3.494334621935112e+54
3,6.920978671173496e+46,-1.7034693322743114e+54,1.6566985182238342e+54,1.863746559531265e+54,1.677376385490073e+54,3.4943522001806476e+54
4,7.373052613590186e+46,-1.7035269538419038e+54,1.656669194000053e+54,1.8637337963325433e+54,1.677359804199781e+54,3.494235914421e+54
5,7.659580363728399e+46,-1.7036228470272044e+54,1.656616365018762e+54,1.863712492120987e+54,1.6773321110620994e+54,3.494038197770448e+54
6,7.329671257624436e+46,-1.703705290483389e+54,1.656571337009425e+54,1.8636942602266737e+54,1.677308401527037e+54,3.4938687815764594e+54
7,7.029813107361866e+46,-1.70373861808173e+54,1.65655603410991e+54,1.8636871652873344e+54,1.6772991702876127e+54,3.493803821901258e+54
8,7.039174663517592e+46,-1.7037177327755246e+54,1.6565737290122986e+54,1.863692224538171e+54,1.6773057538234085e+54,3.4938540449901e+54
9,7.482163668858741e+46,-1.7036544826447248e+54,1.656618367115817e+54,1.863706697310045e+54,1.677324624321931e+54,3.4939952809247045e+54
10,7.506157768747529e+46,-1.7035793523697406e+54,1.6566692195197144e+54,1.863723755695852e+54,1.6773468533644258e+54,3.494160551271829e+54
11,7.152392081625306e+46,-1.703536049669286e+54,1.6566997582500507e+54,1.863733647027525e+54,1.6773597512245135e+54,3.494257178356724e+54
12,7.13518036615646e+46,-1.7035512298503015e+54,1.6566943340756332e+54,1.863730411925122e+54,1.677355569365764e+54,3.494229156868021e+54
13,7.424704001731582e+46,-1.703612787043522e+54,1.656660428782259e+54,1.8637167605998268e+54,1.6773378329224834e+54,3.494102309508087e+54
14,7.479466026691021e+46,-1.7036821189754437e+54,1.6566212720793166e+54,1.863701338375418e+54,1.6773177869390182e+54,3.49395835321297e+54
15,7.237325165290002e+46,-1.7037232242140598e+54,1.6565984796332976e+54,1.8636922160138876e+54,1.6773059279290405e+54,3.493873471735418e+54
16,7.036451866500298e+46,-1.703721922849928e+54,1.656600620291821e+54,1.8636925730739906e+54,1.6773063913694778e+54,3.49387773224988e+54
17,7.110801187092818e+46,-1.7036869475698406e+54,1.6566226180196517e+54,1.863700455014138e+54,1.6773166386988653e+54,3.4939528352708266e+54
18,7.270001440922302e+46,-1.7036387617504226e+54,1.6566523406915828e+54,1.863711285869549e+54,1.6773307207636306e+54,3.494055658274354e+54
19,7.24617515875488e+46,-1.7036023022965212e+54,1.6566749406337186e+54,1.8637194863712673e+54,1.677341382776582e+54,3.494133579946798e+54
20,7.08753640732843e+46,-1.70359614057134e+54,1.6566793425543046e+54,1.8637208958640773e+54,1.6773432129283034e+54,3.494147381650709e+54
21,7.129690755567642e+46,-1.703621419429277e+54,1.6566649765169177e+54,1.863715262980525e+54,1.6773358849152298e+54,3.494094776280303e+54
22,7.337278678469182e+46,-1.7036626316745144e+54,1.656641061570016e+54,1.863706062392592e+54,1.677323916388341e+54,3.4940084820492217e+54
23,7.498599668217219e+46,-1.7036991407933014e+54,1.6566199373065898e+54,1.863697916973153e+54,1.6773133161289194e+54,3.4939321046013576e+54
24,7.521803692505846e+46,-1.7037149438381938e+54,1.656611188972493e+54,1.863694407448759e+54,1.6773087467094088e+54,3.493899474510504e+54
25,7.606367275833555e+46,-1.7037051800149526e+54,1.6566176748456984e+54,1.8636966261518024e+54,1.6773116253185384e+54,3.4939208223647596e+54
26,7.91743722466943e+46,-1.7036782504440936e+54,1.656634361718362e+54,1.8637026868427733e+54,1.6773195028063694e+54,3.493978380097783e+54
27,8.288134318992578e+46,-1.703649126823858e+54,1.6566523596196983e+54,1.8637092399504025e+54,1.6773280182278145e+54,3.4940405738554e+54
28,8.711553664898061e+46,-1.703630911230058e+54,1.656663853554072e+54,1.8637133534760886e+54,1.6773333611499653e+54,3.4940797440656046e+54
29,9.33830659457425e+46,-1.703630683758543e+54,1.6566646112012916e+54,1.8637134410184846e+54,1.6773334700006934e+54,3.494080931844992e+54
30,1.0283343101101514e+47,-1.703647668697328e+54,1.656655045306213e+54,1.8637096759147846e+54,1.677328570097472e+54,3.4940457254545724e+54
31,1.1382542866935396e+47,-1.7036736254012522e+54,1.6566401074417985e+54,1.8637039015519433e+54,1.677321057130924e+54,3.493991554548842e+54
32,1.296607772124286e+47,-1.7036955943168768e+54,1.6566275691699536e+54,1.8636990257354758e+54,1.6773147139798474e+54,3.4939458442291776e+54
33,1.5222411006246336e+47,-1.7037043877473762e+54,1.6566228622326477e+54,1.8636971043688177e+54,1.6773122145410042e+54,3.4939279456192036e+54
34,1.8069987467186063e+47,-1.7036984339873086e+54,1.656626915916421e+54,1.863698488988676e+54,1.677314018435878e+54,3.493941170053541e+54
35,2.1957582214300115e+47,-1.7036820620038427e+54,1.656637179103612e+54,1.863702214159668e+54,1.6773188700359926e+54,3.493976420871252e+54
36,2.761847632889839e+47,-1.703661238151921e+54,1.6566500759024965e+54,1.8637069476078974e+54,1.677325039307438e+54,3.494021100850675e+54
37,3.533794778345484e+47,-1.7036458790773673e+54,1.6566596459661747e+54,1.8637104682616074e+54,1.677329637501628e+54,3.494054226031521e+54
38,4.535055797954655e+47,-1.7036467679994475e+54,1.656659435506762e+54,1.8637103709549823e+54,1.677329545446096e+54,3.494053037413972e+54
39,5.891173837086566e+47,-1.7036619626021587e+54,1.6566505919244098e+54,1.863707092157504e+54,1.677325335827076e+54,3.494021646424215e+54
40,7.79458807214493e+47,-1.7036793008875044e+54,1.6566403441731256e+54,1.863703365323395e+54,1.6773205586637617e+54,3.493985746731585e+54
41,1.0397635977122688e+48,-1.7036918474938455e+54,1.656632781714779e+54,1.8637007535613973e+54,1.6773172597857752e+54,3.4939599873317036e+54
42,1.3893687534185478e+48,-1.7036994762004207e+54,1.656627916095216e+54,1.8636993028959826e+54,1.677315513167554e+54,3.493944645327085e+54
43,1.8669060094714235e+48,-1.7037021127823005e+54,1.6566257232093464e+54,1.863699054007619e+54,1.677315387155826e+54,3.4939399184965005e+54
44,2.5233006999534425e+48,-1.7036923728879832e+54,1.656630484061851e+54,1.8637016896938234e+54,1.6773190924880657e+54,3.4939614166564574e+54
45,3.420330784443585e+48,-1.7036658853855245e+54,1.6566446341006463e+54,1.8637082221652067e+54,1.6773279612741524e+54,3.4940183524852654e+54
46,4.6401133688295e+48,-1.70363980970669e+54,1.6566577126987258e+54,1.8637148679922174e+54,1.677337119462439e+54,3.494074530560062e+54
