t,total peaks,Ypos,prominences
149,0,[],[]
149,0,[],[]
149,0,[],[]
149,0,[],[]
149,0,[],[]
149,0,[],[]
149,0,[],[]
149,0,[],[]
149,0,[],[]
149,1,[-2.78200884e+21],[6.1535701e-09]
149,1,[-2.61674089e+21],[7.76309345e-09]
149,1,[-2.3963839e+21],[9.37378286e-09]
149,1,[-2.23111595e+21],[1.33227849e-08]
149,1,[-2.12093731e+21],[1.80728605e-08]
149,4,[-8.73165174e+21 -7.24424073e+21 -4.65504450e+21 -2.01075882e+21],[9.85154158e-09 7.41516715e-09 6.77407597e-09 7.18745241e-09]
149,4,[-9.22745503e+21 -6.58316949e+21 -5.37120507e+21 -4.65504450e+21],[1.11111760e-08 1.66347043e-08 8.04960010e-09 1.02535909e-08]
149,3,[-5.64665165e+21 -5.09575904e+21 -4.82031246e+21],[2.57915236e-08 5.16728171e-09 5.73155123e-09]
149,4,[-4.87540177e+21 -4.65504450e+21 -4.37959820e+21 -3.49816968e+21],[2.77766770e-08 6.91138524e-09 5.30906807e-09 8.28481639e-09]
149,4,[-4.43468752e+21 -4.21433025e+21 -4.04906258e+21 -3.33290173e+21],[6.31420960e-09 7.11130710e-09 5.13320586e-08 9.09998210e-09]
149,3,[-3.66343764e+21 -3.27781241e+21 -3.00236583e+21],[1.24730732e-08 4.23020019e-08 1.54701461e-08]
